202020.att.com,144.160.219.116
ai-intltest2.test.dlife.att.com,68.153.79.40
ai-intluat.test.dlife.att.com,68.153.79.91
ai-plfmdev.digitallife.att.com,68.153.79.15
ai-plfmdev.test.dlife.att.com,68.153.79.15
ai-qa1.test.dlife.att.com,144.160.91.30
ai-qa2.test.dlife.att.com,144.160.91.35
ai-svcdev.digitallife.att.com,68.153.79.26
ai-svcdev.test.dlife.att.com,68.153.79.26
ai-systest.digitallife.att.com,68.153.79.42
ai-systest.test.dlife.att.com,68.153.79.42
ai-trn1.test.dlife.att.com,144.160.91.40
ai-trn2.test.dlife.att.com,144.160.91.45
ai.dlife.att.com,144.160.231.12
aia-qa1.test.dlife.att.com,144.160.91.32
aia-qa2.test.dlife.att.com,144.160.91.37
aia-trn1.test.dlife.att.com,144.160.91.42
aia-trn2.test.dlife.att.com,144.160.91.47
aia.dlife.att.com,144.160.173.87
aio-dev.stage.att.com,65.83.225.146
aio.stage.att.com,216.77.188.113
aiobrand.att.com,144.160.154.234
akamai.att.com,88.221.8.45
alabama.att.com,50.16.158.1
alaska.att.com,50.16.158.1
albls.vpn.att.com,144.161.0.141
albls1.vpn.att.com,144.161.0.139
albls2.vpn.att.com,144.161.0.144
alclient1.vpn.att.com,144.161.0.142
alexasetup.att.com,144.160.236.94
alliance.att.com,92.122.122.145
alphameeting.att.com,12.184.11.248
alpharetta-jda-collab.att.com,144.160.241.148
am01.acss.att.com,144.160.252.44
am02.acss.att.com,144.160.252.45
am03.acss.att.com,144.160.252.46
am04.acss.att.com,144.160.252.47
ame-ngeag-aln.att.com,135.209.168.42
ame-ngeag-onbd.att.com,135.209.156.56
ame-ngeag-qa.att.com,144.161.8.41
ame-ngeag.att.com,135.209.156.51
ame-ngeaglab-ffdc.att.com,144.160.149.145
ame-ngeaglab-sfdc.att.com,144.160.13.58
amg-ch.amg.att.com,32.65.32.12
amg-dc.amg.att.com,32.65.32.44
amp-gisgw.att.com,144.160.21.141
amt-gisgw.att.com,144.160.21.142
anpw15ae.attpoc1.att.com,206.19.24.190
anpw15wapswebext.attpoc1.att.com,206.19.24.230
ap.att.com,122.248.166.67
ap01.acss.att.com,144.160.252.48
ap02.acss.att.com,144.160.252.49
apacadmin.uc.att.com,32.60.55.51
apacwesttcs.uc.att.com,32.60.45.201
apacwesttcs1.uc.att.com,32.60.45.201
apacwesttcs2.uc.att.com,32.60.45.201
apacwesttcs3.uc.att.com,32.60.45.201
apextoolkit.att.com,151.164.61.224
api-iotdevice.att.com,204.16.68.165
api-m2x.att.com,52.22.150.98
api-simmanagement.att.com,144.160.155.248
api-test1.att.com,76.198.14.233
api.att.com,75.55.78.129
apiadmin-api.att.com,75.55.78.124
apiadmin-prod-dfw3.att.com,69.220.28.144
apiadmin-prod-ewr2.att.com,76.198.12.184
apiadmin-prod-san3.att.com,75.55.78.124
apilogin.stage.att.com,144.160.219.70
apiloginal.att.com,144.160.225.138
apiloginda.att.com,144.160.127.10
apiloginff.att.com,144.160.147.58
apiloginsf.att.com,144.160.25.55
apis.att.com,2.17.222.159
apixbfvdna.att.com,12.194.12.71
app4.synaptic.att.com,206.17.23.225
apps.wholesale.att.com,144.161.7.241
aps.att.com,54.225.207.22
apsapidev1.att.com,13.56.150.206
apsapitest01.att.com,34.213.44.216
arbtx1.labs.att.com,205.173.58.35
arizona.att.com,50.16.158.1
arkansas.att.com,50.16.158.1
arm.att.com,216.77.188.77
arm.stage.att.com,216.77.188.121
armt.att.com,144.160.19.26
armtdr.att.com,144.160.85.201
asecare.att.com,69.192.73.243
ask.att.com,144.160.155.53
ask.stage.att.com,144.160.29.30
asrgateway.att.com,144.160.20.164
at01.acss.att.com,144.160.252.50
at02.acss.att.com,144.160.252.51
at03.acss.att.com,144.160.252.52
at1tng.att.com,144.160.219.98
aternityconsole.att.com,144.160.40.74
atlas.att.com,75.55.66.13
ats-api.att.com,12.67.0.139
att-amereast-00001.naeast.synaptic.att.com,32.65.245.14
att-amereast-00002.naeast.synaptic.att.com,32.65.245.14
att-amerwest-00001.nawest.synaptic.att.com,32.65.241.13
att-amerwest-00002.nawest.synaptic.att.com,32.65.243.12
att-eu-lhr-ams-00001.euwest.synaptic.att.com,193.108.64.96
att-us-san-stl-00001.nawest3.synaptic.att.com,32.65.255.99
att-us-sfo-dfw-00001.nawest2.synaptic.att.com,32.65.251.98
att-us-sfo-dfw-00002.nawest4.synaptic.att.com,206.251.35.145
att.com,144.160.155.43
att.uc.att.com,12.130.53.113
attalaskanet.stage.att.com,144.160.154.38
attapaceastpx1.uc.att.com,122.248.145.10
attapaceastpx2.uc.att.com,122.248.145.11
attapaceastpx3.uc.att.com,122.248.145.12
attapaceasttcsb.uc.att.com,122.248.145.41
attapaceasttcsb1.uc.att.com,122.248.145.41
attapaceasttcsb2.uc.att.com,122.248.145.41
attapaceasttcsb3.uc.att.com,122.248.145.41
attapacwestpx3.uc.att.com,32.60.46.10
attapacwestpx6.uc.att.com,32.60.46.13
attathome.att.com,144.160.219.246
attee.uc.att.com,206.19.50.82
atteueastlgtcs.uc.att.com,32.42.37.16
atteueastpx2.uc.att.com,32.42.42.13
atteueastpx3.uc.att.com,32.42.42.14
atteueastpx4.uc.att.com,32.42.42.15
atteueastpx5.uc.att.com,32.42.42.16
atteueastpx6.uc.att.com,32.42.42.17
atteueasttcs1.uc.att.com,32.42.37.12
atteueasttcs11.uc.att.com,32.42.37.12
atteueasttcs12.uc.att.com,32.42.37.12
atteuwestlgtcs.uc.att.com,195.33.103.15
atteuwestpx10.uc.att.com,195.33.101.29
atteuwestpx12.uc.att.com,195.33.101.44
atteuwestpx13.uc.att.com,195.33.101.45
atteuwestpx17.uc.att.com,195.33.101.49
atteuwesttcs1.uc.att.com,195.33.103.11
atteuwesttcs11.uc.att.com,195.33.103.11
atteuwesttcs12.uc.att.com,195.33.103.11
atteuwesttcs13.uc.att.com,195.33.103.11
attgac-frfd.att.com,144.160.149.150
attgac.att.com,144.160.85.208
attgmm.att.com,206.127.27.233
attnaeastlgtcs.uc.att.com,206.17.96.101
attnaeastpx17.uc.att.com,12.130.55.118
attnaeastpx20.uc.att.com,12.130.55.121
attnaeastpx26.uc.att.com,12.130.55.207
attnaeastpx28.uc.att.com,12.130.55.184
attnaeastpx29.uc.att.com,12.130.55.185
attnaeastpx31.uc.att.com,12.130.55.187
attnaeastpx32.uc.att.com,12.130.55.188
attnaeastpx33.uc.att.com,12.130.55.30
attnaeastpx35.uc.att.com,12.130.55.39
attnaeastpx36.uc.att.com,12.130.55.54
attnaeastpx37.uc.att.com,12.130.55.55
attnaeastpx38.uc.att.com,12.130.55.56
attnaeastpx39.uc.att.com,12.130.55.172
attnaeastpx40.uc.att.com,12.130.55.173
attnaeastpx41.uc.att.com,12.130.55.174
attnaeastpx43.uc.att.com,12.130.55.201
attnaeasttcs.uc.att.com,206.17.96.100
attnaeasttcs2.uc.att.com,206.17.96.100
attnaeasttcs3.uc.att.com,206.17.96.100
attnaeasttcs4.uc.att.com,206.17.96.100
attnawestlgtcs.uc.att.com,12.130.157.171
attnawestpx21.uc.att.com,2001:1890:E000:8C25::28
attnawestpx25.uc.att.com,12.130.142.55
attnawestpx26.uc.att.com,12.130.142.56
attnawestpx32.uc.att.com,12.130.142.62
attnawestpx35.uc.att.com,12.130.142.46
attnawestpx36.uc.att.com,12.130.142.47
attnawestpx37.uc.att.com,12.130.142.48
attnawestpx38.uc.att.com,12.130.142.66
attnawestpx40.uc.att.com,12.130.142.68
attnawestpx42.uc.att.com,12.130.142.70
attnawesttcs1.uc.att.com,12.130.157.170
attnawesttcs11.uc.att.com,12.130.157.170
attnawesttcs12.uc.att.com,12.130.157.170
attnawesttcs13.uc.att.com,12.130.157.170
attreg.green.test.att.com,144.160.84.49
attreg.indigo.test.att.com,144.160.84.59
attreg.orange.test.att.com,144.160.84.69
attreg.red.test.att.com,144.160.84.79
attreg.yellow.test.att.com,144.160.84.89
attroad.att.com,144.160.56.31
attuverselivetv.att.com,50.56.206.5
atyourservice.att.com,35.164.4.250
au1tng.att.com,144.160.219.99
auth-api.att.com,75.55.79.234
auth-dev1.att.com,76.198.15.4
auth.smc.att.com,209.65.160.196
auth10-chi.smc.att.com,209.65.160.196
auth10-dal.smc.att.com,12.0.231.229
av.att.com,144.160.12.242
av0.att.com,144.160.12.246
av2.att.com,144.160.249.44
ava.att.com,144.160.230.22
avaya.att.com,144.160.241.81
awm.teleconference.att.com,144.160.233.86
axa.dlife.att.com,144.161.151.150
b-nps1-al.dlife.att.com,144.160.231.90
b-nps1-da.dlife.att.com,144.160.173.23
b-nps1-dlife.test.att.com,144.160.90.86
b-nps1.dlife.att.com,144.160.231.90
b-nps2-al.dlife.att.com,144.160.231.91
b-nps2-da.dlife.att.com,144.160.173.24
b-nps2.dlife.att.com,144.160.231.91
b116898dnss2001.uc.att.com,206.19.56.161
b116898dnss2002.uc.att.com,206.19.56.162
b2b.att.com,144.160.241.228
b2bag.att.com,144.160.241.222
b2bage.att.com,144.160.241.222
b2bags.att.com,144.160.241.223
b2bagse.att.com,144.160.241.223
b2be.att.com,144.160.241.228
b2bece.att.com,144.160.241.176
b2becse.att.com,144.160.241.177
b2bsa.att.com,144.160.241.220
b2bsae.att.com,144.160.241.220
b2bsas.att.com,144.160.241.221
b2bsase.att.com,144.160.241.221
b2bsd.att.com,144.160.241.214
b2bsde.att.com,144.160.241.214
b2bsds.att.com,144.160.241.215
b2bsdse.att.com,144.160.241.215
baccess.stage.att.com,144.161.8.152
backup360client.att.com,64.124.66.12
bargaining.att.com,216.77.188.74
bbqual.wholesale.att.com,144.160.13.114
bbtcpe1.att.com,144.160.149.47
bbtcpe2.att.com,144.160.241.14
bbtiuat.test.att.com,144.161.65.206
bc-da.att.com,144.160.125.94
bc-sf.att.com,144.160.13.28
bc.att.com,144.160.125.94
bcontent.stage.att.com,144.161.8.151
bcsbill.eia.att.com,144.160.149.164
bcsbilling.att.com,144.160.149.164
beta-ace.att.com,216.77.160.33
bettertv.att.com,168.143.89.89
beyondlimits.att.com,158.85.1.171
bhsala.miim.synaptic.att.com,206.17.22.240
bidiso-www.att.com,135.209.150.103
billing.uc.att.com,206.19.50.17
bizcircle.att.com,69.192.73.243
bizcircle.stage-e.att.com,69.192.73.243
bizcommunity.att.com,208.74.204.154
blink2.att.com,144.160.219.220
blinktest2.att.com,144.160.219.219
bma.wireless.labs.att.com,70.151.44.253
bmam-businessmessaging.att.com,173.209.205.78
bnc-businessmessaging.att.com,173.209.210.194
bnsams.att.com,135.209.149.61
boost.att.com,144.160.219.222
boost.stage.att.com,144.160.219.223
boslbtcsb.uc.att.com,12.130.3.38
botornot.att.com,63.240.126.40
bp01.att.com,12.153.241.90
bp02.att.com,12.153.241.91
bp03.att.com,88.221.10.19
bp04.att.com,88.221.10.19
brand-saml-dev.stage.att.com,65.83.225.67
brandapprovals.att.com,144.160.154.236
brandcenter.att.com,144.160.154.233
broadbandformn.att.com,50.16.158.1
bugbounty.att.com,144.161.104.195
bugbounty.test.att.com,144.161.104.242
bulkhvsmtp02.att.com,144.160.128.180
bulkhvsmtp03.att.com,144.160.128.183
bulksmtp02.att.com,144.160.128.179
bulksmtp03.att.com,144.160.128.182
business.att.com,69.192.73.243
businesscarecentral.att.com,142.0.160.14
businesscenter.att.com,88.221.10.19
businessdirect.att.com,144.160.149.168
businessready.att.com,128.177.36.196
businessreferralrewards.att.com,199.249.253.26
busmsgr.att.com,173.209.210.194
busreports.att.com,195.33.104.188
buy-connectech.att.com,144.160.147.45
buyasession-stg.stage.att.com,144.160.194.114
buyasession.att.com,135.209.168.28
buyback.att.com,67.227.237.212
c-networkauth.stage.att.com,144.160.194.180
c2m-projectone.att.com,199.108.99.40
cabling.att.com,23.235.223.153
caccess-al.att.com,144.161.106.75
caccess.stage.att.com,144.160.149.221
caemp3.vpn.att.com,144.160.133.30
caemp4.vpn.att.com,144.160.133.31
caemp5.vpn.att.com,144.160.133.32
caemp6.vpn.att.com,144.160.133.33
caemp7.vpn.att.com,144.160.133.34
caemp8.vpn.att.com,144.160.133.35
california.att.com,50.16.158.1
callcenter.att.com,104.130.145.173
calltree.em.att.com,144.160.230.42
callvantage.att.com,12.194.240.23
calnet.att.com,12.111.225.190
canopi.att.com,144.160.34.156
care.callvantage.att.com,12.194.240.22
carecentral.att.com,72.3.235.4
carectech.stage.att.com,144.160.81.59
cargoview.att.com,108.244.183.74
carrierportal.att.com,144.160.219.108
cassl10.vpn.att.com,144.160.133.37
cassl9.vpn.att.com,144.160.133.36
cat.voicetone.att.com,63.240.104.171
cc-agc.att.com,32.65.64.18
cc.storage.synaptic.att.com,32.65.209.48
cc1-agc.att.com,32.65.64.10
cc1-vmrc-agc.att.com,32.65.64.14
cc2-agc.att.com,32.65.80.10
cc2-vmrc-agc.att.com,32.65.64.15
ccc01.dp.att.com,144.160.40.103
ccconnectpreprod.att.com,139.76.136.32
ccgwsl-sm.teleconference.att.com,144.160.233.95
ccgwsl-st.teleconference.att.com,144.160.233.94
ccontent-bi.att.com,144.161.8.159
ccontent.stage.att.com,144.160.149.220
ccs.uc.att.com,206.17.109.117
cd2migration.att.com,144.160.155.53
cdms-prod.att.com,144.160.81.101
cdn-mp.att.com,92.122.122.139
cds.att.com,70.150.100.33
cds2.n118402.synaptic.att.com,206.17.19.136
cdst.bus.att.com,144.160.233.78
certi9t.e-access.att.com,144.160.243.241
certoauth.elogin.att.com,144.160.241.243
cgate.stage.att.com,144.160.194.114
cgatemas.stage.att.com,144.160.194.117
changelog-m2x.att.com,151.101.1.147
charmapi.uc.att.com,206.17.109.153
chatnow.att.com,216.150.182.217
chi.att.com,144.160.230.22
chinese.att.com,144.160.233.92
chinesestage.att.com,144.160.233.91
chiscandev.labs.voicetone.att.com,64.143.244.81
ci.att.com,144.160.219.162
clec.att.com,144.160.104.30
clicks.att.com,144.160.154.74
cloudapi-wdc1.synaptic.att.com,206.17.18.72
cloudapi.synaptic.att.com,206.17.18.72
cloudarchitect.att.com,108.229.2.5
cloudcover.research.att.com,207.140.168.144
cloudso-wdc1.synaptic.att.com,206.17.18.71
clouduser-wdc1.synaptic.att.com,206.17.18.135
clouduser.synaptic.att.com,206.17.18.135
cloudwebsecurity.att.com,199.19.250.200
cms.stage.att.com,65.83.225.44
cmsadm-test.stage.att.com,65.83.225.114
cnm.eia.att.com,144.160.149.163
coloadmin.uc.att.com,12.130.10.151
colorado.att.com,50.16.158.1
communities.att.com,69.20.27.137
communitiesmember.att.com,68.170.16.27
conferencecenter.uc.att.com,206.17.109.13
confhpa.att.com,144.160.233.132
confsystem.uc.att.com,12.130.53.178
connect.att.com,139.76.72.46
connect.uc.att.com,206.19.50.21
connect1.uc.att.com,206.19.50.36
connect10.uc.att.com,12.130.53.17
connect11.uc.att.com,12.130.53.20
connect12.uc.att.com,12.130.53.23
connect13.uc.att.com,12.130.53.26
connect14.uc.att.com,12.130.53.29
connect15.uc.att.com,12.130.53.32
connect16.uc.att.com,12.130.53.35
connect17.uc.att.com,12.130.53.38
connect18.uc.att.com,12.130.53.41
connect19.uc.att.com,12.130.53.44
connect2.uc.att.com,206.19.50.39
connect20.uc.att.com,206.17.109.32
connect21.uc.att.com,206.17.109.35
connect22.uc.att.com,206.17.109.38
connect23.uc.att.com,206.17.109.79
connect24.uc.att.com,206.17.109.80
connect25.uc.att.com,206.17.109.81
connect26.uc.att.com,206.17.109.122
connect27.uc.att.com,206.17.109.123
connect28.uc.att.com,206.17.109.124
connect3.uc.att.com,206.19.50.52
connect4.uc.att.com,206.19.50.33
connect5.uc.att.com,206.19.50.58
connect6.uc.att.com,206.19.50.63
connect7.uc.att.com,206.19.50.66
connect8.uc.att.com,206.19.50.69
connect9.uc.att.com,206.19.50.72
connectech.att.com,144.160.155.55
connected.att.com,144.161.106.21
connecticut.att.com,50.16.158.1
connectmeeting.att.com,144.160.155.65
console.vcd.b322143.synaptic.att.com,32.65.231.231
console.vcd.d122078.synaptic.att.com,32.65.251.231
console.vcd.p122100.synaptic.att.com,32.65.229.231
console.vcd.s222101.synaptic.att.com,32.65.225.231
console.vcd.v222080.synaptic.att.com,32.65.253.231
consumer.att.com,144.160.219.35
consumer.stage.att.com,144.160.154.35
consumerblogarchive.att.com,216.77.188.74
contractup.att.com,209.11.136.180
copyright-csr-test.stage.att.com,65.83.225.105
core.att.com,144.161.106.25
cp.eia.att.com,144.160.149.168
cpr.att.com,144.161.6.42
cprodmasx.att.com,144.160.147.43
cprodx.att.com,144.160.225.139
creative.att.com,144.161.106.32
crm9ap01-lab-cif.att.com,144.160.219.154
crm9ap03-lab-cif.att.com,144.160.219.153
csc.uc.att.com,206.17.109.115
cscconsole.att.com,64.186.176.206
csct.att.com,144.160.155.48
csdaccess-ext-p2.att.com,135.209.168.52
csdaccess-ext.att.com,135.209.156.59
csdwebgate-ext-p2.att.com,135.209.168.51
csi-bau-ext-bhdc.att.com,144.161.8.103
csi-bau-ext-bodc.att.com,135.209.148.47
csi-bau-ext-dadc.att.com,144.160.125.15
csi-bau-ext-wwdc.att.com,170.35.212.78
csi-systest.digitallife.att.com,68.153.79.43
csi-systest.test.dlife.att.com,68.153.79.43
csi-tst-ext6.att.com,144.160.84.128
csit-cf.att.com,144.160.81.194
csm.uc.att.com,206.17.109.18
csmip.bus.att.com,144.160.233.70
csorpt.smc.att.com,209.65.160.192
csorpt.stage.att.com,144.161.9.238
csp-secureapp.att.com,216.77.188.114
csp-secureapp.stage.att.com,216.77.188.120
ctech.stage.att.com,144.160.81.58
ctsfws.stage.att.com,144.160.81.60
customerservice.att.com,144.160.219.245
customerservice.stage.att.com,144.160.154.34
customreports.gsi.att.com,192.31.9.67
d1tng.att.com,144.160.219.100
d2.att.com,69.220.31.234
d2tng.att.com,144.160.219.101
datapatterns.att.com,144.160.233.193
dataweb.eia.att.com,144.160.149.170
db.att.com,144.160.230.22
dbactmgr.att.com,144.160.107.152
dbactmgrudtc.att.com,144.160.107.155
dc.att.com,50.16.158.1
dcommng.att.com,144.160.36.59
dcommng.stage.att.com,144.160.36.181
dcp2.att.com,135.209.168.28
deals.att.com,144.160.230.22
deeplink.att.com,162.242.156.171
delaware.att.com,50.16.158.1
design.att.com,65.83.231.44
detroitms.uc.att.com,12.130.53.186
dev-dcp2.att.com,170.35.215.10
dev-dg.att.com,144.160.154.49
dev-paymentstatus.att.com,144.160.230.100
developer.att.com,2.17.222.159
devintl-paymentstatus.att.com,144.160.230.99
devstage.att.com,12.153.241.45
devsummit.att.com,69.220.30.224
dfw3-api.att.com,69.220.28.148
dfw3-auth-api.att.com,69.220.28.152
dg.att.com,144.161.23.190
digital.att.com,142.0.160.57
digitaldesign-prod.att.com,144.161.106.46
digitaldesign.att.com,144.161.106.46
digitalyou.att.com,54.164.146.110
directvnowhq.att.com,52.38.154.188
disasterrelief.att.com,144.161.106.22
ditrex-alpha.att.com,144.161.136.51
ditrex-charlie.att.com,144.161.106.234
dladmin.test.dlife.att.com,68.153.79.4
dladmin2.test.dlife.att.com,68.153.79.5
dladvantage.att.com,52.6.225.253
dlapps.test.dlife.att.com,68.153.79.10
dlc.att.com,144.160.233.233
dlcatadmin.att.com,144.160.231.40
dlcatdashboard.att.com,144.160.221.61
dlcss-gasp-test.dlife.att.com,144.160.231.97
dlcss-gasp.dlife.att.com,144.160.231.45
dlcss-test.dlife.att.com,144.160.173.88
dlcss.dlife.att.com,144.160.173.82
dlcss.test.dlife.att.com,68.153.79.45
dlifeapiaccess-dev.stage.att.com,144.160.219.27
dlifeapiaccess-poc.stage.att.com,144.160.219.29
dlifeapiaccess-qa1.stage.att.com,144.160.219.30
dlifeapiaccess-qa2.stage.att.com,144.160.219.31
dlifeapiaccess-test.stage.att.com,144.160.219.28
dlifeapiaccess.att.com,144.160.225.159
dlifedealer-e.att.com,170.35.215.221
dlifedealer-h-e.att.com,170.35.215.220
dlifedealer-qc1.att.com,144.160.84.24
dlifedealer-qc11.att.com,144.160.84.142
dlifedealer-qc12.att.com,144.160.84.143
dlifedealer-qc2-h-e.att.com,170.35.216.93
dlifedealer-qc21.att.com,170.35.216.94
dlifedealer-qc22.att.com,144.160.84.27
dlifedealer-w.att.com,170.35.239.61
dlilicense.test.dlife.att.com,129.35.179.129
dlops.att.com,144.160.230.22
dlsecureapp-cms-dev.stage.att.com,65.83.225.141
dlsecureapp-cms-test.stage.att.com,65.83.225.102
dlsecureapp-cms-test1.stage.att.com,65.83.225.40
dlsecureapp-cms-test2.stage.att.com,65.83.225.47
dlsecureapp-cms.stage.att.com,65.83.225.78
dlsecureapp-dashboard.stage.att.com,144.160.90.11
dlsecureapp-manage-dev.stage.att.com,65.83.225.142
dlsecureapp-manage-test.stage.att.com,65.83.225.103
dlsecureapp-manage-test2.stage.att.com,65.83.225.46
dlsecureapp-manage.stage.att.com,65.83.225.79
dltafwin2k12stdvm01.test.dlife.att.com,68.153.79.46
dltafwin2k12stdvm02.test.dlife.att.com,68.153.79.47
dltalinux0102.test.dlife.att.com,68.153.79.11
dlvoice-alpha.dlife.att.com,144.161.97.139
dlvoice-dallas.dlife.att.com,144.160.173.102
dms.att.com,144.160.230.65
dmsqa.att.com,144.160.230.66
dnsm.att.com,144.160.29.66
dnsmdoc.att.com,144.160.29.67
dow01.acss.att.com,144.160.252.53
dow02.acss.att.com,144.160.252.54
dow03.acss.att.com,144.160.252.55
dow04.acss.att.com,144.160.252.56
dow05.acss.att.com,144.160.252.57
dow07.acss.att.com,144.160.252.59
dow08.acss.att.com,144.160.252.60
dow10.acss.att.com,144.160.252.62
dow13.acss.att.com,144.160.252.65
dow14.acss.att.com,144.160.252.66
dow15.acss.att.com,144.160.252.67
dow16.acss.att.com,144.160.252.68
dow17.acss.att.com,144.160.252.69
dow18.acss.att.com,144.160.252.70
dow19.acss.att.com,144.160.252.71
downloads.uc.att.com,23.37.37.166
dpt.eia.att.com,144.160.149.193
drive.att.com,34.236.6.174
drop.att.com,108.244.164.251
dropbox-lidbas.att.com,144.161.104.245
dsl-ufix.att.com,64.186.176.131
dsl.bus.att.com,144.160.233.76
dslorder.wholesale.att.com,139.76.162.3
dslordertest.wholesale.att.com,139.76.171.8
dsmhm.eia.att.com,144.160.149.171
dss-p1mbw1.att.com,170.35.212.141
dss-p1mbw10.att.com,170.35.212.243
dss-p1mbw11.att.com,170.35.212.249
dss-p1mbw12.att.com,170.35.212.139
dss-p1mbw13.att.com,170.35.212.130
dss-p1mbw14.att.com,170.35.212.151
dss-p1mbw15.att.com,170.35.212.242
dss-p1mbw16.att.com,170.35.212.228
dss-p1mbw17.att.com,170.35.212.194
dss-p1mbw18.att.com,170.35.212.224
dss-p1mbw19.att.com,170.35.212.177
dss-p1mbw2.att.com,170.35.212.131
dss-p1mbw20.att.com,170.35.212.227
dss-p1mbw21.att.com,170.35.212.235
dss-p1mbw22.att.com,170.35.212.252
dss-p1mbw23.att.com,170.35.212.140
dss-p1mbw24.att.com,170.35.212.117
dss-p1mbw25.att.com,170.35.212.147
dss-p1mbw26.att.com,170.35.212.236
dss-p1mbw27.att.com,170.35.212.231
dss-p1mbw28.att.com,170.35.212.222
dss-p1mbw29.att.com,170.35.212.223
dss-p1mbw3.att.com,170.35.212.165
dss-p1mbw30.att.com,170.35.212.166
dss-p1mbw31.att.com,170.35.212.230
dss-p1mbw32.att.com,170.35.212.240
dss-p1mbw33.att.com,170.35.212.246
dss-p1mbw4.att.com,170.35.212.239
dss-p1mbw5.att.com,170.35.212.232
dss-p1mbw6.att.com,170.35.212.193
dss-p1mbw7.att.com,170.35.212.225
dss-p1mbw8.att.com,170.35.212.185
dss-p1mbw9.att.com,170.35.212.229
dss-p2mbw1.att.com,170.35.239.198
dss-p2mbw10.att.com,170.35.239.154
dss-p2mbw11.att.com,170.35.239.156
dss-p2mbw12.att.com,170.35.239.195
dss-p2mbw13.att.com,170.35.239.196
dss-p2mbw14.att.com,170.35.239.191
dss-p2mbw15.att.com,170.35.239.185
dss-p2mbw16.att.com,170.35.239.181
dss-p2mbw17.att.com,170.35.239.176
dss-p2mbw18.att.com,170.35.239.165
dss-p2mbw19.att.com,170.35.239.170
dss-p2mbw2.att.com,170.35.239.153
dss-p2mbw20.att.com,170.35.239.163
dss-p2mbw21.att.com,170.35.239.160
dss-p2mbw22.att.com,170.35.239.155
dss-p2mbw23.att.com,170.35.239.194
dss-p2mbw24.att.com,170.35.239.192
dss-p2mbw25.att.com,170.35.239.188
dss-p2mbw26.att.com,170.35.239.184
dss-p2mbw27.att.com,170.35.239.178
dss-p2mbw28.att.com,170.35.239.171
dss-p2mbw29.att.com,170.35.239.158
dss-p2mbw3.att.com,170.35.239.193
dss-p2mbw30.att.com,170.35.239.172
dss-p2mbw31.att.com,170.35.239.164
dss-p2mbw32.att.com,170.35.239.162
dss-p2mbw33.att.com,170.35.239.157
dss-p2mbw4.att.com,170.35.239.182
dss-p2mbw5.att.com,170.35.239.179
dss-p2mbw6.att.com,170.35.239.175
dss-p2mbw7.att.com,170.35.239.159
dss-p2mbw8.att.com,170.35.239.169
dss-p2mbw9.att.com,170.35.239.167
dss-p9mbw1.att.com,135.209.149.245
dss-p9mbw10.att.com,135.209.149.225
dss-p9mbw11.att.com,135.209.149.214
dss-p9mbw12.att.com,135.209.149.244
dss-p9mbw13.att.com,135.209.149.240
dss-p9mbw14.att.com,135.209.149.235
dss-p9mbw15.att.com,135.209.149.231
dss-p9mbw16.att.com,135.209.149.233
dss-p9mbw17.att.com,135.209.149.229
